vps_id,kind,status,in_out,one_line,cards
7.1,curated,[F] integerization + min-variance,"in: real loads / out: $|k_i-k_j|\le1$; $89\to(30,30,29)$, $82\to(28,27,27)$; counts 19/27/81/123; $R^2{=}7$ empty",Floor-plus-largest-residual with locked tie-breaks; number theory pins the 81.,"VP-C-029, VP-C-031, VP-C-024"
7.2,curated,[F] build times,in: $\nu_p$ / out: $T_p/T_n=89/82$; $T_p{-}T_n=7/\nu$,"Two integers, one rate, the n-p split in seconds.",VP-C-024
7.3,curated,operational definitions + handoff gate,"in: event logs (mandatory schema) / out: aggregates $\Phi$, $\chi$ and the observation$\to$analysis handoff gate; missing fields $\Rightarrow$ INCONCLUSIVE/FAIL. NB: this $\chi$ is the handoff aggregate, distinct from the light angle $\chi$ of \S10.9",Observables are computable from logs or they do not exist --- and the handoff itself is gated.,"VP-C-043, VP-C-049"
7.4,curated,definitions (no interpretation),"in: 3-sector axes (120\textdegree{} lock), integerization, residual vector / out: electron/positron labels by sign of the surviving vector + definability conditions","Charge labels are bookkeeping of a residual vector --- defined, not interpreted.","VP-C-029, VP-C-042"
8.0,curated,[F] derivation overview,"in: $SO(2)$ rotation vs lattice $C_3$ / out: the orientational mismatch concentrates on one body diagonal $\Rightarrow$ exactly one inlet (7-closed/1-open is derived, not asserted)",A continuous circle cannot be 3-divided cleanly --- the leftover picks the single nozzle.,"VP-C-030, VP-C-023"
8.0.5,curated,"[F] LOCK-NU-N (SSOT for 3,7,82,89 and the $n$-fold law)","in: $\delta$, $n{=}3$, $N{-}1$ lemma / out: $\nu_n=n\pi^{2(n-1)}$; $\nu_p=3\pi^{4}$; $m_p/m_e=6\pi^{5}$; $r_p=D/(6\pi^{6})$","Exponent = gauge lemma, prefactor = sector count; the $+1$ in 82 is the nozzle.","VP-C-011, VP-C-012, VP-C-013, VP-C-007"
8.0.6,curated,[F] forced integral boundary,in: [MAP-1]/[MAP-2] (sole definitional content) / out: $\langle W_n\rangle=\delta^{n}$; $s_n=n\delta^{-n}$,"Two declared maps, then everything is forced --- same status as defining $\alpha,\delta$ in \S5.","VP-C-012, VP-C-028"
8.1,curated,locked construction outputs,"in: $R^2\le6$ counting / out: $\mathcal{X}_{82}$ coordinates + center, d2 hierarchy labels, contact graph (three locked bundles)","The 82-core is shipped as data: coordinates, hierarchy, and who touches whom.","VP-C-023, VP-C-031"
8.2,curated,[F] shell partition,"in: 7 survivors / out: $7=2{+}4{+}1$ (pair, tetra quad, survivor); v0.2 erratum fixed",The seven-shell closes as 2+4+1; the old 2+2+4+1=9 is corrected on the record.,VP-C-023
8.3,curated,verification frame,"in: \S8.2 partition + thresholds / out: existence / consistency / nondegeneracy checks for ``6 cancel + 1 survive''; PASS/FAIL/INCONCLUSIVE only, interpretation cannot nullify a verdict",The seven-shell story must survive on actual coordinates --- or fail on the record.,"VP-C-030, VP-C-049"
8.4,curated,[F] mechanism + label definition,"in: completed state $\mathcal{P}=(\mathcal{X}_{82},\mathcal{S}_7,\mathbf{x}_c,R_p)$ / out: ejection (emission) event of the surviving complement $\Rightarrow$ electron with charge label fixed by definition",The electron is the ejected complement of a completed proton --- its charge label comes with the ejection.,"VP-C-042, VP-C-025"
8.5,curated,[V] grinder MD,in: rotation / out: 79--82-cell core; $R_{\mathrm{rms}}\propto1/\Omega$; grind rate $=\nu_p$,A rotating dent eats lattice through one nozzle at the canonical rate.,VP-C-034
9.1,curated,operational defs,in: logs / out: state/event/annihilation triggers (TRIG-*),What counts as one event is fixed before anything is counted.,VP-C-043
9.2,curated,[F] theorem,in: stationarity A-9.2-S1 / out: $\nu_{\mathrm{can}}=s\cdot\delta$,The canonical rate splits exactly into scale times survival.,VP-C-043
9.3,curated,[F] electron normalization,in: $\nu_e:=1$ / out: $s_e=\pi^{2}$; $r_e=D/(2\pi^{2})$ (event-rate role ONLY),"The electron sets the clock; its radius here is a rate radius, not a mass length.","VP-C-025, VP-C-017"
9.4,curated,[F] cross-check,"in: $D,r_p,\delta$ / out: $\nu_p=292.245$ ($+61$ ppm vs $3\pi^{4}$); $s_p=D/(2r_p)$ linear",The length route lands 61 ppm from canon --- the same chain as the $-19$ ppm.,"VP-C-011, VP-C-007"
10.5,curated,definition slot,in: throat/percolation / out: amplification $A$; clock-free $c:=(a/\Delta t)\tilde c$,Where $A$ lives and how speed is realized without a clock.,"VP-C-010, VP-C-004"
10.6,curated,declaration (clock-free realization),"in: internal indicator $\tilde{c}$ (throat/backbone) + realization map / out: $c:=(a/\Delta t)\,\tilde{c}$ --- no external clock assumed","Speed is realized, not timed: an internal indicator times a unit map.","VP-C-045, VP-C-010, VP-C-004"
10.7,curated,sealing requirements (gate stack),"in: all Ch.~10 outputs ($\chi_c$, $\delta_{\mathrm{eff}}$, backbone, $A$, $\tilde{c}$, $c$) / out: mandatory numerical package --- registry snapshot, seeds, code+logs, gate report, manifest+checksums","No seal, no conclusion --- the chapter's own results are hostage to their package.","VP-C-049, VP-C-051"
10.1,curated,operational definition + switch,in: locked domain/graph / out: spanning indicator $\chi_{\mathrm{span}}$ and the propagation switch; $c$ as $B_{\mathrm{eff}}/\rho_{\mathrm{eff}}$ defined only when the switch is on,"Before speed exists, the lattice must first vote that it spans.","VP-C-045, VP-C-033"
10.2,curated,closure (premise-locked),"in: $\chi_c=\chi_{\mathrm{ST}}=1$, locked boundaries/coordinates / out: critical-throat $\delta_{\mathrm{eff}}$ percolation estimator","The effective gap is measured at the critical throat, under premises that are themselves locked.","VP-C-010, VP-C-002"
10.3,curated,operational definition + gates,"in: critical-throat graph, backbone, event logs / out: amplification $A$ = SOC-transmission concentration on the backbone ($\kappa_{\mathrm{bb}}$), estimators + steady/pinning/robustness gates",$A$ is not assumed --- it is the lattice caught concentrating its own traffic.,"VP-C-010, VP-C-002"
10.4,curated,sealing specification,"in: all Ch.~10 artifacts / out: numerical-experiment package conventions (2D throat / 3D jamming / SOC pinning), file list, manifest/checksums/registry\_snapshot","Chapter 10 ships as files with fingerprints, not as claims.","VP-C-051, VP-C-049"
10.8,curated,pointer (relocated v0.5.0),"in: --- / out: the redshift module lives in \S17.5 (Open tier, hard Gates unmet); physical development owned by the companion Earth--Cosmos volume",A number kept as a signpost: nothing cosmological is concluded here.,VP-C-N04
10.9,curated,[F]+[V] light angle,"in: $\lambda/D$ / out: $\sin\chi=\lambda/(mD)$, $m=\lceil\lambda/D\rceil$; committed $\chi(633)/\chi(532)$; v0.8 input-convention note",Light rides an integer dent chain; the committed angles are the armed falsifier.,"VP-C-032, VP-C-020"
14.0,curated,[F] genesis,in: rotation + pockets / out: $|q_e|=|q_p|$ exact; Maxwell curl-contained; magnitude external,Charge is the bookkeeping of one synchronized rotation; the coupling size is honestly measured.,"VP-C-042, VP-C-041, VP-C-N03"
14.1,curated,definitions + bridge,in: $U_{\mathrm{lat}}$ / out: $F_{\mathrm{lat}}=hc/a^{2}$; $F=mc^{2}/D$ (4 digits); sink $1/r^{2}$; regime map,"One continuity equation, four closures --- and a bridge that closes to four digits.","VP-C-036, VP-C-037"
14.2,curated,SUPERSEDED --- record only (redirect: \S14.0 / \S14.5),in: --- / out: $A^{-1/2}hc$ identified as the gravity/mass-sector impedance misapplied to EM (the $\approx9\%$ gap is exactly $\sqrt{8.81/7.41}$); the $89/82$ patch evicted; live coupling $K_C=\alpha_{em}\hbar c$ (measured),The 9\% diagnosis is itself a derived sector-separation result --- the negative carries positive content.,"VP-C-N01, VP-C-024, VP-C-N03"
14.3,curated,closure,"in: shells / out: share $(a/R)^{2}$; $Q_{\mathrm{can}}\in\mathbb{Z}$; $F=Q_XQ_YK_C/R^{2}$, $K_C=\alpha_{em}\hbar c$ (measured)",Integer charge and inverse square from counting; the constant from the lab.,"VP-C-041, VP-C-N03"
14.4,curated,verification module,in: plate separation $d$ / out: boundary-screening account of the Casimir pressure with the ideal-limit $1/d^{4}$ form as the check,The vacuum-stiffness story is cross-examined against the Casimir $1/d^{4}$ law.,"VP-C-036, VP-C-041"
14.5,curated,STATUS NOTE [O],in: --- / out: $\alpha_{em}$ is NOT derived; $137.0364$ closed form = COINCIDENCE/NON-EVIDENCE (gate FAIL),Stated first so it cannot be misread: not derived here.,"VP-C-N03, VP-C-028"
17.1,curated,optional-route operational definitions,"in: isotropic-regime kernels / out: E-ANISO (direction-dependent propagation/attenuation) + E-ROT (rotation drive: rate, axis, $\ell_{\mathrm{rot}}$) extensions",Anisotropy and rotation enter as definitions on top of the core --- never as edits to it.,"VP-C-020, VP-C-058"
17.2,curated,optional-route regime map,in: operational definitions only (no external dynamics) / out: E-JET / E-CORE (singularity replacement) / E-COSMO classes integrated into one regime map,"Jets, cores, and cosmology are filed as regimes with conditions --- not as conclusions.","VP-C-057, VP-C-N04"
17.3,curated,governance (limitations + vNext rules),"in: --- / out: limitation classes \{REGIME\_OUT, IDENTIFIABILITY, NUMERICS, MEASUREMENT, DEPENDENCY\}; admission conditions for new LOCKs and revision rules","Limitations are classified, not confessed --- and the door for new locks has a posted protocol.","VP-C-058, VP-C-049"
17.4,curated,[F]+[O],in: annihilation sink / out: inflow law; cap (EP as result); four-wall no-go; one-scalar $m_q$,"Structure derived, absolute honestly external --- with the no-go proven, not confessed.","VP-C-037, VP-C-038, VP-C-039, VP-C-040, VP-C-N05"
17.4.0,curated,[F] root cause,in: annihilation rate $Q$ / out: $\nabla^{2}\phi=-\sigma\Rightarrow F\propto Q/r^{2}$; always attractive; closures in series,A sink in a plenum that forbids voids: gravity exists before it saturates.,"VP-C-037, VP-C-038"
17.4.4,curated,[F] derived no-go,"in: lattice primitives / out: four walls; $G^{*}=g\tau_q/c=5.295\times10^{-28}$ (Earth); one scalar $m_q$; pinned: resource bound, $\alpha_{em}$ class","The missing piece of absolute $g$ is one scalar and an HPC-scale run --- proven, listed, gated.","VP-C-040, VP-C-N05, VP-C-N09, VP-C-N12"
17.5,curated,open-tier stub,in: $\kappa$ [INPUT] / out: $1+z=e^{\kappa s_{\mathrm{path}}}$ map; hard Gates unmet,A phenomenology module on embargo --- no cosmological conclusion may cite it.,VP-C-N04
11.1,curated,Option-B anchor policy,in: $c_{\mathrm{ref}}$ / out: allowed slots only; FAIL-CREF-* labels,"$c_{\mathrm{ref}}$ may anchor units, never justify results.","VP-C-045, VP-C-052"
11.2,curated,realization,"in: $\lambda_{\mathrm{ref}},N$ / out: $a=\lambda_{\mathrm{ref}}/N=6.3299\times10^{-19}$ m (diameter)",One split rule turns the anchor into the lattice unit.,"VP-C-003, VP-C-001, VP-C-002"
11.3,curated,realization,"in: $A,a,c_{\mathrm{ref}}$ / out: $\Delta t=Aa/c_{\mathrm{ref}}=1.86\times10^{-21}$ s; error budget",The tick follows from the amplification; $c\Delta t/a=A$ closes exactly.,"VP-C-004, VP-C-010"
11.4,curated,gate spec,in: two channels / out: RCROSS 3-Tier; dev; FAIL labels,No single anchor decides anything: two channels or no conclusion.,VP-C-052
11.5,curated,format definition (integrated appendix),in: MMS operational-anchor records / out: required fields + correspondence table into realization/analysis/gate locks and the RCROSS 3-Tier fields; missing field $\Rightarrow$ INCONCLUSIVE,External anchors enter only through a fixed form --- or not at all.,"VP-C-052, VP-C-001"
11.6,curated,[F]/[H] three-layer logic,in: jamming / out: stiffness exists (no constant in); one anchor sets size; air cross-check; stiffness forces $r_p$,The $c^2{=}K$ circularity dissolves into input-vs-output; the radius is a stable fixed point.,"VP-C-045, VP-C-033, VP-C-026"
11.6.5,curated,[V] independent reproduction (second witness; no locked value changed),"in: unified jamming bundle (\texttt{final\_verification.py}, zero fitted parameters) / out: $A_{\mathrm{med}}=8.1\times10^{5}$ vs deposited $8.0\times10^{5}$; $D$ three-route corroboration ($\sim$0.04\%); $c^2=B/\rho$ with relaxed $G\to0$ on five observables --- all PASS","One command re-derives the central locks --- a witness, not a new claim.","VP-C-010, VP-C-044, VP-C-033, VP-C-051"
13.1,curated,SSOT definition,"in: $h,c_{\mathrm{ref}},a$ / out: $U_{\mathrm{lat}}=hc/a=1958.7$ GeV (redefinition forbidden)","One energy feeds all masses --- defined once, referenced everywhere.",VP-C-014
13.2,curated,operational axiom,in: $U_{\mathrm{lat}}$ / out: $m=U_{\mathrm{lat}}/\sigma_{\mathrm{eff}}$; locked types T1/T2/T3,Mass is resistance; the type may never be switched after results.,VP-C-035
13.3,curated,[F] coefficient,in: 6 faces $-$ 1 gauge / out: $\sigma_{\mathrm{eff}}(H)=5\pi$; $m_H=124.695$ GeV ($-0.40\%$),"Five channels of $\pi$ each; the residual is published, not migrated.","VP-C-015, VP-C-028"
13.4,curated,[F] prediction,in: $\lambda_C=(\pi/2)r_p$ / out: $S_p=\lambda_C/a=2087.476$; $m_p=hc/\lambda_C=0.93831$ GeV ($a$ cancels),The integral is bookkeeping; the physics is a derived Compton length.,VP-C-016
13.5,curated,[F] identity,in: two Compton lengths / out: $m_p/m_e=2\pi\nu_p=6\pi^{5}=1836.118$ ($-19$ ppm),"The bracket $2\pi$ is $\alpha/\delta$ --- derived, with the old $\pi^{2}$ confusion on record.","VP-C-013, VP-C-009, VP-C-011"
13.5.4,curated,calibration node,"in: $D_{\mathrm{anch}}$ / out: $m_ec^{2}=2hc/D=0.511$ MeV (anchor, NOT prediction); $r_e$ role-restricted",The mass sector spends its one calibration here --- and says so.,"VP-C-017, VP-C-046, VP-C-025"
13.6,curated,theorem,in: locked $\sigma$'s / out: $m_H(5\pi)=m_pS_p=m_eS=U_{\mathrm{lat}}$,"One energy, three masses, products identically recovering $U_{\mathrm{lat}}$.",VP-C-035
13.7,curated,gate spec,in: masses / out: nine ratio invariants (target 1); G-RATIO-*,Every closure is re-checked as an invariant equal to one.,VP-C-035
15.1,curated,correspondence map (definitions),in: lattice $\mathcal{L}=\mathbb{Z}^d$ / out: dispersion/plane-wave solutions mapped to a wavefunction state space,"The wavefunction enters as a mapped object, not an imported axiom.","VP-C-043, VP-C-057"
15.2,curated,protocol rewrite,"in: observation module $\Lambda$, output labels / out: Born rule, measurement, and collapse re-expressed as event frequencies under gated protocols","Collapse becomes a counting protocol with a Gate, not a mystery.","VP-C-043, VP-C-049"
15.3,curated,theorem/hypothesis/validation split,"in: state space $\mathcal{S}$ / out: operators, commutation, uncertainty, and the 3-sector spin/statistics link, each filed by claim type","What is theorem, what is hypothesis, what is merely checked --- each claim is filed where it belongs.","VP-C-048, VP-C-029"
15.4,curated,boundary declaration,"in: external target texts (SM, standard QM) / out: mapping tables only --- observational numbers shared, gauge dynamics banned; scope declared","The Standard Model is a target text: its numbers may be borrowed, its dynamics may not.","VP-C-N03, VP-C-057"
15.5,curated,reinterpretation (CALIB; not a derivation of $h$),"in: rigidity-shell modes, BE statistics / out: quantum as lattice-stiffness threshold $\epsilon_b=h_{\mathrm{VP}}\nu$; spectrum shape follows, $h_{\mathrm{VP}}$ calibrated (\S16.4)","Planck's quantum re-read as a lattice toll --- the spectrum follows, $h$ is calibrated, nothing is over-claimed.","VP-C-014, VP-C-048"
12.4,curated,cross-check charter,"in: $\Delta t$ (RCROSS-sealed), event protocol, 82+7 structure / out: simultaneous time--event--structure consistency; any axis down $\Rightarrow$ FAIL/INCONCLUSIVE",The one-second test is three tests that must pass together.,"VP-C-021, VP-C-052"
12.5,curated,gate declaration,"in: --- / out: \texttt{G-E1S} $\in$ \{PASS, FAIL, INCONCLUSIVE\} declared as the final time-consistency gate; time-based conclusions lose status unless PASS",The chapter names its own executioner before presenting results.,"VP-C-021, VP-C-049"
12.1,curated,operational defs,"in: CELL-CUBE, $\kappa_{\mathrm{vp}}=\pi/6$ / out: $\phi_{\mathrm{jam}}=(\pi/6)N_{\mathrm{vp}}(a/D)^{3}$","Cell, kernel, inclusion rule --- locked so occupancy cannot be retuned.",VP-C-022
12.2,curated,reconstruction,"in: $\Delta t,\nu_e$ / out: tick/event forms of the electron one-second","Two equivalent constructions of one internal second, gated for agreement.",VP-C-021
12.3,curated,measurement + triggers,in: snapshots / out: $\phi_{\mathrm{jam}}$ protocol; error budget; FAIL-PHIJAM-*,"Occupancy is recorded only in the jammed regime, or not at all.",VP-C-022
1.4,curated,gate declaration,"in: --- / out: format lock, pre-registration in gate\_lock, verdict precedence (FAIL/INCONCLUSIVE cannot be premises)",FAIL and INCONCLUSIVE are contagious: nothing downstream may cite them.,"VP-C-049, VP-C-051"
1.5,curated,coupling charter,in: --- / out: No-Tuning governs how LOCK/Gate change; LOCK governs inputs; Gate governs conclusion admissibility,"Three rules, one machine: how things change, what may enter, what may conclude.","VP-C-050, VP-C-049"
1.1,curated,global rule [D],"in: --- / out: No-Tuning --- after seeing outputs, no retroactive adjustment of inputs/definitions/procedures/verdicts, across four fixed layers",Seeing the output forfeits the right to touch the input.,VP-C-050
1.2,curated,definitions (LOCK taxonomy + SSOT),"in: --- / out: canon/realization/analysis lock types; SSOT = one item, one registry location; sections reference, never rebuild",Every fact lives at exactly one address.,"VP-C-050, VP-C-046"
1.3,curated,verdict definitions,"in: --- / out: Gate output fixed to PASS/FAIL/INCONCLUSIVE; Gate decides pre-registered conditions, not truth",A Gate never says ``true'' --- it says the pre-registered bar was met.,VP-C-049
1.8,curated,governance [F]: DOF ledger totals exactly one tunable input,in: full claim set / out: DOF$=$1; N-invariance; 5-line check; forced-coefficient test,Count the knobs: one ($\lambda_{\mathrm{ref}}$); coefficients never migrate to close residuals.,"VP-C-055, VP-C-054, VP-C-050, VP-C-047"
1.9,curated,"doubt trails A1--A8, B1--B2, C (resolved or flagged)",in: anticipated objections / out: per-item status; A3 surviving five-result set,Every natural objection is traced to a status --- including which residuals the framework refuses to count.,"VP-C-056, VP-C-045, VP-C-024"
1.10,curated,falsifiability charter [F]; Kill-3 ARMED,in: claims / out: 4 kill criteria + explicit non-falsifier list,Four published ways to kill the framework; the light-angle one is already loaded.,"VP-C-053, VP-C-020"
16.1,curated,operational rules,"in: --- / out: protocol registry, pre-registration, falsification-trigger rules; FAIL results are published with the same ceremony as PASS","Failures are public artifacts, not drawer contents.","VP-C-051, VP-C-053"
16.2,curated,SSOT layers,"in: --- / out: input/derivation/report SSOT --- constants and rules declared once, in LOCK files only",Truth has one address per item; copies are bugs.,"VP-C-050, VP-C-051"
16.3,curated,reference implementation,"in: protocol.*, locks/*, plan.* only / out: $\mathcal{I}_{\mathrm{ref}}$ conditions, execution recipe, artifact checklist, release rules","The paper's claims compile: one implementation, one recipe, one checklist.",VP-C-051
