code,slug,h1,subj45_auto,needs_subj45,vps_n,vps_ids_status,one_liner_pool,cards_union
05,05-geometric-rectification-constants-single-source,Geometric Rectification Constants (Single Source of Truth),Geometric Rectification Constants (Single,Y,6,5.0[[D] reading convention (]; 5.4[reuse rules]; 5.5[invalidation rules]; 5.1[[F] forced integral]; 5.2[[F] forced integral]; 5.3[[F] insertion map],"Every $\pi$ is an averaged rotation and every 2 has a name --- the constants are | $\alpha$ and $\delta$ may be cited everywhere and re-derived nowhere. | Four ways to misuse the rectification constants, each fatal on contact. | The full-cycle magnitude average --- not the fine-structure constant. | Double rectification survives at $1/\pi^{2}$ under the max-entropy measure.","VP-C-005, VP-C-006, VP-C-049, VP-C-050"
06,06-continuum-core-model-deriving-rp,Continuum Core Model: Deriving $Rₚ$,Continuum Core Model: Deriving $Rₚ$,,5,6.5[allowed conclusion forms]; 6.1[LOCK $L_q=\lambda_C$ (G1]; 6.2[[F] balance]; 6.3[[F] numbers]; 6.4[admissibility [C-82/7]],"Agreement with data is a result here, never a reason. | The one identification the continuum chain needs, declared and gated. | Two pressures cross once; the crossing is the proton radius. | The locked radius and its invariant, two lines from the balance. | What the continuum result requires the integer core to satisfy.","VP-C-007, VP-C-018, VP-C-023, VP-C-026, VP-C-027, VP-C-049"
07,07-3-sector-integerization-120-build,3-Sector Integerization (120°) and Build Time,3-Sector Integerization (120°) and Build Time,,5,7.5[definitions]; 7.1[[F] integerization + min]; 7.2[[F] build times]; 7.3[operational definitions ]; 7.4[definitions (no interpre],"Build time is counting times the tick --- any other aggregation needs its own cl | Floor-plus-largest-residual with locked tie-breaks; number theory pins the 81. | Two integers, one rate, the n-p split in seconds. | Observables are computable from logs or they do not exist --- and the handoff it | Charge labels are bookkeeping of a residual vector --- defined, not interpreted.","VP-C-004, VP-C-024, VP-C-029, VP-C-031, VP-C-042, VP-C-043, VP-C-049"
08,08-discrete-proton-structure-82-7,Discrete Proton Structure (82+7),Discrete Proton Structure (82+7),,8,8.0[[F] derivation overview]; 8.0.5[[F] LOCK-NU-N (SSOT for ]; 8.0.6[[F] forced integral boun]; 8.1[locked construction outp]; 8.2[[F] shell partition]; 8.3[verification frame]; 8.4[[F] mechanism + label de]; 8.5[[V] grinder MD],"A continuous circle cannot be 3-divided cleanly --- the leftover picks the singl | Exponent = gauge lemma, prefactor = sector count; the $+1$ in 82 is the nozzle. | Two declared maps, then everything is forced --- same status as defining $\alpha | The 82-core is shipped as data: coordinates, hierarchy, and who touches whom. | The seven-shell closes as 2+4+1; the old 2+2+4+1=9 is corrected on the record.","VP-C-007, VP-C-011, VP-C-012, VP-C-013, VP-C-023, VP-C-025, VP-C-028, VP-C-030, VP-C-031, VP-C-034, VP-C-042, VP-C-049"
09,09-event-quantum-definition-canonical-event,Event (Quantum) Definition and Canonical Event Rate,Event (Quantum) Definition and Canonical,Y,4,9.1[operational defs]; 9.2[[F] theorem]; 9.3[[F] electron normalizati]; 9.4[[F] cross-check],"What counts as one event is fixed before anything is counted. | The canonical rate splits exactly into scale times survival. | The electron sets the clock; its radius here is a rate radius, not a mass length | The length route lands 61 ppm from canon --- the same chain as the $-19$ ppm.","VP-C-007, VP-C-011, VP-C-017, VP-C-025, VP-C-043"
10,10-implementing-speed-light-clock-free,Implementing the speed of light (clock-free $c$) and lattice propagation,Implementing the speed of light (clock-free,Y,9,10.5[definition slot]; 10.6[declaration (clock-free ]; 10.7[sealing requirements (ga]; 10.1[operational definition +]; 10.2[closure (premise-locked)]; 10.3[operational definition +]; 10.4[sealing specification]; 10.8[pointer (relocated v0.5.]; 10.9[[F]+[V] light angle],"Where $A$ lives and how speed is realized without a clock. | Speed is realized, not timed: an internal indicator times a unit map. | No seal, no conclusion --- the chapter's own results are hostage to their packag | Before speed exists, the lattice must first vote that it spans. | The effective gap is measured at the critical throat, under premises that are th","VP-C-002, VP-C-004, VP-C-010, VP-C-020, VP-C-032, VP-C-033, VP-C-045, VP-C-049, VP-C-051, VP-C-N04"
14,14-force-lattice-tension-1-r2,"Force: lattice tension, the $1/r²$ Green-function form, and the EM-sector status (what is forced, what is measured input)","Force: lattice tension, the $1/r²$",Y,6,14.0[[F] genesis]; 14.1[definitions + bridge]; 14.2[SUPERSEDED --- record on]; 14.3[closure]; 14.4[verification module]; 14.5[STATUS NOTE [O]],"Charge is the bookkeeping of one synchronized rotation; the coupling size is hon | One continuity equation, four closures --- and a bridge that closes to four digi | The 9\% diagnosis is itself a derived sector-separation result --- the negative  | Integer charge and inverse square from counting; the constant from the lab. | The vacuum-stiffness story is cross-examined against the Casimir $1/d^{4}$ law.","VP-C-024, VP-C-028, VP-C-036, VP-C-037, VP-C-041, VP-C-042, VP-C-N01, VP-C-N03"
17,17-extensions-optional-reading,Extensions (Optional Reading),Extensions (Optional Reading),,7,17.1[optional-route operation]; 17.2[optional-route regime ma]; 17.3[governance (limitations ]; 17.4[[F]+[O]]; 17.4.0[[F] root cause]; 17.4.4[[F] derived no-go]; 17.5[open-tier stub],"Anisotropy and rotation enter as definitions on top of the core --- never as edi | Jets, cores, and cosmology are filed as regimes with conditions --- not as concl | Limitations are classified, not confessed --- and the door for new locks has a p | Structure derived, absolute honestly external --- with the no-go proven, not con | A sink in a plenum that forbids voids: gravity exists before it saturates.","VP-C-020, VP-C-037, VP-C-038, VP-C-039, VP-C-040, VP-C-049, VP-C-057, VP-C-058, VP-C-N04, VP-C-N05, VP-C-N09, VP-C-N12"
11,11-realization-units-t-rcross,"Realization of units: $a,Δ t,RCROSS$","Realization of units: $a,Δ t,RCROSS$",,7,11.1[Option-B anchor policy]; 11.2[realization]; 11.3[realization]; 11.4[gate spec]; 11.5[format definition (integ]; 11.6[[F]/[H] three-layer logi]; 11.6.5[[V] independent reproduc],"$c_{\mathrm{ref}}$ may anchor units, never justify results. | One split rule turns the anchor into the lattice unit. | The tick follows from the amplification; $c\Delta t/a=A$ closes exactly. | No single anchor decides anything: two channels or no conclusion. | External anchors enter only through a fixed form --- or not at all.","VP-C-001, VP-C-002, VP-C-003, VP-C-004, VP-C-010, VP-C-026, VP-C-033, VP-C-044, VP-C-045, VP-C-051, VP-C-052"
13,13-mass-u-latarrow-m-h,Mass: $U_latarrow m_H/mₚ/mₑ$,Mass: $U_latarrow m_H/mₚ/mₑ$,,8,13.1[SSOT definition]; 13.2[operational axiom]; 13.3[[F] coefficient]; 13.4[[F] prediction]; 13.5[[F] identity]; 13.5.4[calibration node]; 13.6[theorem]; 13.7[gate spec],"One energy feeds all masses --- defined once, referenced everywhere. | Mass is resistance; the type may never be switched after results. | Five channels of $\pi$ each; the residual is published, not migrated. | The integral is bookkeeping; the physics is a derived Compton length. | The bracket $2\pi$ is $\alpha/\delta$ --- derived, with the old $\pi^{2}$ confus","VP-C-009, VP-C-011, VP-C-013, VP-C-014, VP-C-015, VP-C-016, VP-C-017, VP-C-025, VP-C-028, VP-C-035, VP-C-046"
15,15-quantum-mechanics-mapping-completion-note,Quantum mechanics mapping (completion note: lock standard-QM elements as a mapping table),Quantum mechanics mapping (completion note:,Y,5,15.1[correspondence map (defi]; 15.2[protocol rewrite]; 15.3[theorem/hypothesis/valid]; 15.4[boundary declaration]; 15.5[reinterpretation (CALIB;],"The wavefunction enters as a mapped object, not an imported axiom. | Collapse becomes a counting protocol with a Gate, not a mystery. | What is theorem, what is hypothesis, what is merely checked --- each claim is fi | The Standard Model is a target text: its numbers may be borrowed, its dynamics m | Planck's quantum re-read as a lattice toll --- the spectrum follows, $h$ is cali","VP-C-014, VP-C-029, VP-C-043, VP-C-048, VP-C-049, VP-C-057, VP-C-N03"
12,12-electron-1-second-cross-check,Electron 1-second cross-check,Electron 1-second cross-check,,5,12.4[cross-check charter]; 12.5[gate declaration]; 12.1[operational defs]; 12.2[reconstruction]; 12.3[measurement + triggers],"The one-second test is three tests that must pass together. | The chapter names its own executioner before presenting results. | Cell, kernel, inclusion rule --- locked so occupancy cannot be retuned. | Two equivalent constructions of one internal second, gated for agreement. | Occupancy is recorded only in the jammed regime, or not at all.","VP-C-021, VP-C-022, VP-C-049, VP-C-052"
01,01-governance-no-tuning-lock-gate,Governance: No-Tuning / LOCK / Gate,Governance: No-Tuning / LOCK / Gate,,8,"1.4[gate declaration]; 1.5[coupling charter]; 1.1[global rule [D]]; 1.2[definitions (LOCK taxono]; 1.3[verdict definitions]; 1.8[governance [F]: DOF ledg]; 1.9[doubt trails A1--A8, B1-]; 1.10[falsifiability charter []","FAIL and INCONCLUSIVE are contagious: nothing downstream may cite them. | Three rules, one machine: how things change, what may enter, what may conclude. | Seeing the output forfeits the right to touch the input. | Every fact lives at exactly one address. | A Gate never says ``true'' --- it says the pre-registered bar was met.","VP-C-020, VP-C-024, VP-C-045, VP-C-046, VP-C-047, VP-C-049, VP-C-050, VP-C-051, VP-C-053, VP-C-054, VP-C-055, VP-C-056"
16,16-doi,DOI,DOI,,5,16.1[operational rules]; 16.2[SSOT layers]; 16.3[reference implementation]; 16.4[constant closure map]; 16.5[completeness audit],"Failures are public artifacts, not drawer contents. | Truth has one address per item; copies are bugs. | The paper's claims compile: one implementation, one recipe, one checklist. | Every constant wears its passport: geometric, anchored, or calibrated. | A citation without a DOI is treated as a broken build.","VP-C-014, VP-C-046, VP-C-050, VP-C-051, VP-C-053, VP-C-055"
axa,axa-mathematical-lemmas-proof-sketches,Appendix A. Mathematical lemmas and proof sketches,Appendix A. Mathematical lemmas and proof,Y,0,,,
axb,axb-numerical-protocol-details-gates-seeds,"Appendix B. Numerical protocol details (gates, seeds, sampling)",Appendix B. Numerical protocol details,Y,0,,,
axc,axc-archive-schema-file-tree,Appendix C. Archive schema & file tree,Appendix C. Archive schema & file tree,,0,,,
axd,axd-glossary-index,Appendix D. Glossary / Index,Appendix D. Glossary / Index,,0,,,
axepmr,axepmr-appendix-e-p-m-r,Appendix E/P/M/R. Core derivations + deterministic verification scripts,Appendix E/P/M/R. Core derivations +,Y,0,,,
axe,axe-geometric-origin-electron-mass-direct,Appendix E. Geometric origin of the electron mass and direct measurement,Appendix E. Geometric origin of the electron,Y,0,,,
axp,axp-lattice-origin-proton-mass-integral,Appendix P. Lattice origin of the proton mass and integral method,Appendix P. Lattice origin of the proton,Y,0,,,
axm,axm-mass-grand-unification-geometric-differentiation,Appendix M. Mass grand unification: geometric differentiation of lattice energy,Appendix M. Mass grand unification:,Y,0,,,
axr,axr-lattice-tension-theory-deriving-absolute,Appendix R. Lattice tension theory: deriving the absolute scale of electromagnetic force,Appendix R. Lattice tension theory: deriving,Y,0,,,
axf,axf-discrete-decomposition-hypothesis-event-rate,Appendix F. Discrete decomposition hypothesis of event rate: integer part (active sites) and residual (oscillation),Appendix F. Discrete decomposition,Y,0,,,
axg,axg-geometric-derivation-gravity-lattice-yield,Appendix G. Geometric derivation of gravity: lattice yield limit and saturation theory,Appendix G. Geometric derivation of gravity:,Y,0,,,
axh,axh-theory-geometric-rigidity-v2-1,Appendix H: Theory of Geometric Rigidity (v2.1),Appendix H: Theory of Geometric Rigidity,Y,0,,,
axi,axi-doi-anchored-citation-registry-no,Appendix I: DOI-anchored Citation Registry (No Missing DOI),Appendix I: DOI-anchored Citation Registry,Y,0,,,
axk,axk-methodological-validation-via-classical-gas,Appendix K: Methodological Validation via Classical Gas Acoustics (Mean-Free-Path Reconstruction),Appendix K: Methodological Validation via,Y,0,,,
axl,axl-4-3-1-state-dictionary,Appendix L: A 4-3-1 State Dictionary for Jamming-Regime Unification (Interpretive Module; NON-LOCK),Appendix L: A 4-3-1 State Dictionary for,Y,0,,,
ov,ov-overview-pointers-canonical-treatments,"Overview, and pointers to the canonical treatments","Overview, and pointers to the canonical",Y,0,,,
bt,bt-bedrock-trail-how-framework-converged,Bedrock Trail: How the Framework Converged (v6--v8 case study),Bedrock Trail: How the Framework Converged,Y,0,,,
ea,ea-epistemic-audit-log-what-happened,Epistemic Audit Log: What Happened in v25--v40,Epistemic Audit Log: What Happened in,Y,1,What[audit-trail summary],Sixteen versions changed not the results but how honestly the results are labele,"VP-C-047, VP-C-048"
r5,r5-5-line-reproducibility-check-front,The 5-Line Reproducibility Check --- front-loaded,The 5-Line Reproducibility Check ---,Y,0,,,
cm,cm-common-misreadings-front-loaded,Common Misreadings --- front-loaded,Common Misreadings --- front-loaded,,0,,,
ml,ml-meta-lessons-future-reviewers-contributors,Meta-Lessons for Future Reviewers and Contributors,Meta-Lessons for Future Reviewers and,Y,0,,,
axglink,axglink-appendix-g-link-per-section,Appendix G-LINK: per-section LOCK/Gate registry (relocated in v0.8),Appendix G-LINK: per-section LOCK/Gate,Y,0,,,
vh,vh-appendix-version-history-reclassification-log,Appendix: Version history and reclassification log,Appendix: Version history and,Y,0,,,
