entity,modality,mechanism,evidence_status,grade,provenance,gene,cui,efficacy_offset_e,R_treat,evidence_tier,definition_corroborated,definition_category,definition_phrase,mechanism_established,source_class,obstacle_for_L,nbk,accession_initial_posting,accession_last_revision,mgmt_corroboration_terms
Cystic fibrosis,CFTR modulator therapy (corrector + potentiator) with airway clearance and pancreatic enzyme replacement,CFTR modulators restore folding and channel gating of mutant CFTR protein,disease-modifying (substantial),[L],"accession-dated to GeneReviews Management section. GeneReviews NBK1250; initial posting March 26, 2001; last revision August 8, 2024; retrieved 2026-06-17; Management section (corroborating term(s): cftr, modulator, airway, clearance)",CFTR,C0010674,0.5500,0.4500,standard_of_care,no,,,yes,GeneReviews Management; FDA label,,NBK1250,"March 26, 2001","August 8, 2024","cftr, modulator, airway, clearance, pancreatic, enzyme, replacement"
Gaucher disease type I,enzyme replacement therapy (imiglucerase) with optional substrate reduction (eliglustat/miglustat),ERT replaces deficient glucocerebrosidase; substrate reduction lowers glucosylceramide synthesis,disease-modifying (substantial),[L],"accession-dated to GeneReviews Management section. GeneReviews NBK1269; initial posting July 27, 2000; last revision December 7, 2023; retrieved 2026-06-17; Management section (corroborating term(s): enzyme, replacement, imiglucerase, optional)",GBA1,C1961835,0.5500,0.4500,standard_of_care,no,,,yes,GeneReviews Management; FDA label,,NBK1269,"July 27, 2000","December 7, 2023","enzyme, replacement, imiglucerase, optional, substrate, reduction, eliglustat, miglustat"
Hurler syndrome,hematopoietic stem cell transplantation (early) with enzyme replacement (laronidase),HSCT supplies enzyme-secreting donor cells (metabolic cross-correction); ERT replaces alpha-L-iduronidase somatically,disease-modifying (substantial),[L],"accession-dated to GeneReviews Management section. GeneReviews NBK1162; initial posting October 31, 2002; last revision December 4, 2025; retrieved 2026-06-17; Management section (corroborating term(s): hematopoietic, stem, cell, transplantation)",IDUA,C0086795,0.5500,0.4500,standard_of_care,no,,,yes,GeneReviews Management; FDA label,,NBK1162,"October 31, 2002","December 4, 2025","hematopoietic, stem, cell, transplantation, enzyme, replacement"
"Glycogen storage disease, type II",enzyme replacement therapy (alglucosidase alfa / avalglucosidase alfa),"ERT replaces acid alpha-glucosidase, clearing lysosomal glycogen",disease-modifying (substantial),[L],"accession-dated to GeneReviews Management section. GeneReviews NBK1261; initial posting August 31, 2007; last revision August 21, 2025; retrieved 2026-06-17; Management section (corroborating term(s): enzyme, replacement, alglucosidase, alfa)",GAA,C0017921,0.5500,0.4500,definition,yes,modality,enzyme replacement,yes,cited MedGen clinical_definition; FDA label,,NBK1261,"August 31, 2007","August 21, 2025","enzyme, replacement, alglucosidase, alfa"
Gaucher disease,enzyme replacement therapy (imiglucerase) with optional substrate reduction (eliglustat/miglustat) — non-neuronopathic type 1,ERT replaces deficient glucocerebrosidase; substrate reduction lowers glucosylceramide synthesis,disease-modifying (substantial),[L],"accession-dated to GeneReviews Management section. GeneReviews NBK1269; initial posting July 27, 2000; last revision December 7, 2023; retrieved 2026-06-17; Management section (corroborating term(s): enzyme, replacement, imiglucerase, optional)",GBA1,C0017205,0.5500,0.4500,standard_of_care,no,,,yes,GeneReviews Management; FDA label,,NBK1269,"July 27, 2000","December 7, 2023","enzyme, replacement, imiglucerase, optional, substrate, reduction, eliglustat, miglustat"
Tyrosinemia type II,dietary tyrosine (and phenylalanine) restriction,dietary tyrosine restriction prevents tyrosine crystal deposition in cornea and skin,disease-modifying (substantial),[L],"accession-dated to GeneReviews Management section. GeneReviews NBK608431; initial posting October 24, 2024; last revision None; retrieved 2026-06-17; Management section (corroborating term(s): dietary, tyrosine, phenylalanine, restriction)",TAT,C0268487,0.5500,0.4500,definition,yes,efficacy,treated from early infancy,yes,cited MedGen clinical_definition; OMIM clinical management,,NBK608431,"October 24, 2024",,"dietary, tyrosine, phenylalanine, restriction"
Marfan syndrome,comprehensive cardiovascular management (beta-blockade or ARB with prophylactic aortic-root surgery),reduces aortic-wall stress; surgical root replacement removes dissection risk,disease-modifying (substantial),[L],"accession-dated to GeneReviews Management section. GeneReviews NBK1335; initial posting April 18, 2001; last revision February 17, 2022; retrieved 2026-06-17; Management section (corroborating term(s): comprehensive, cardiovascular, surgery)",FBN1,C0024796,0.5500,0.4500,definition,yes,efficacy,With proper management,yes,cited MedGen clinical_definition; GeneReviews Management,,NBK1335,"April 18, 2001","February 17, 2022","comprehensive, cardiovascular, surgery"
21-Hydroxylase-Deficient Congenital Adrenal Hyperplasia,glucocorticoid replacement with mineralocorticoid in salt-wasting forms,corrects cortisol deficiency and suppresses ACTH-driven adrenal androgen excess; mineralocorticoid corrects salt-wasting,disease-modifying (substantial),[L],"accession-dated to GeneReviews Management section. GeneReviews NBK1171; initial posting February 26, 2002; last revision February 4, 2016; retrieved 2026-06-17; Management section (corroborating term(s): glucocorticoid, replacement, mineralocorticoid)",CYP21A2,C2936858,0.5500,0.4500,standard_of_care,no,,,yes,GeneReviews Management; OMIM clinical management,,NBK1171,"February 26, 2002","February 4, 2016","glucocorticoid, replacement, mineralocorticoid"
Achondroplasia,"CNP analog (vosoritide) for growth, with orthopedic management and foramen-magnum decompression where indicated",vosoritide antagonizes FGFR3 downstream MAPK signaling to promote endochondral growth,disease-modifying (partial),[L],"accession-dated to GeneReviews Management section. GeneReviews NBK1152; initial posting October 12, 1998; last revision April 9, 2026; retrieved 2026-06-17; Management section (corroborating term(s): analog, vosoritide, growth, orthopedic)",FGFR3,C0001080,0.3000,0.7000,standard_of_care,no,,,yes,GeneReviews Management; FDA label,,NBK1152,"October 12, 1998","April 9, 2026","analog, vosoritide, growth, orthopedic, decompression"
Acute intermittent porphyria,"hemin for acute attacks and givosiran (siRNA) for prophylaxis, with trigger avoidance and carbohydrate loading","hemin and givosiran downregulate hepatic ALAS1, lowering neurotoxic ALA and porphobilinogen",disease-modifying (substantial),[L],"accession-dated to GeneReviews Management section. GeneReviews NBK1193; initial posting September 27, 2005; last revision February 8, 2024; retrieved 2026-06-17; Management section (corroborating term(s): hemin, acute, attacks, trigger)",HMBS,C0162565,0.5500,0.4500,standard_of_care,no,,,yes,GeneReviews Management; FDA label,,NBK1193,"September 27, 2005","February 8, 2024","hemin, acute, attacks, trigger, carbohydrate"
Alpha-1-antitrypsin deficiency,alpha-1-antitrypsin augmentation therapy with smoking cessation; liver transplant for end-stage liver disease,intravenous pooled AAT raises serum and lung antiprotease levels,disease-modifying (partial),[L],"accession-dated to GeneReviews Management section. GeneReviews NBK1519; initial posting October 27, 2006; last revision June 1, 2023; retrieved 2026-06-17; Management section (corroborating term(s): augmentation, smoking, liver, transplant)",SERPINA1,C0221757,0.3000,0.7000,standard_of_care,no,,,yes,GeneReviews Management; FDA label,,NBK1519,"October 27, 2006","June 1, 2023","augmentation, smoking, liver, transplant"
Beta-thalassemia HBB/LCRB,regular red-blood-cell transfusion with iron chelation,transfusion supplies functional hemoglobin; chelation removes transfusional iron overload,disease-modifying (substantial),[L],"accession-dated to GeneReviews Management section. GeneReviews NBK1426; initial posting September 28, 2000; last revision February 12, 2026; retrieved 2026-06-17; Management section (corroborating term(s): regular, transfusion, iron, chelation)",HBB,CN322236,0.5500,0.4500,definition,yes,modality,chelation,yes,cited MedGen clinical_definition; GeneReviews Management,,NBK1426,"September 28, 2000","February 12, 2026","regular, transfusion, iron, chelation"
Hb SS disease,hydroxyurea with transfusion as needed; HSCT or gene therapy with curative intent in selected individuals,"hydroxyurea induces fetal hemoglobin, reducing HbS polymerization",disease-modifying (partial),[L],"accession-dated to GeneReviews Management section. GeneReviews NBK1377; initial posting September 15, 2003; last revision February 13, 2025; retrieved 2026-06-17; Management section (corroborating term(s): hydroxyurea, transfusion, needed, gene)",HBB,C0002895,0.3000,0.7000,definition,yes,modality,transfusion,yes,cited MedGen clinical_definition; FDA label,,NBK1377,"September 15, 2003","February 13, 2025","hydroxyurea, transfusion, needed, gene"
Hemochromatosis type 1,therapeutic phlebotomy (iron chelation where phlebotomy is contraindicated),phlebotomy depletes excess body iron stores,disease-modifying (substantial),[L],"accession-dated to GeneReviews Management section. GeneReviews NBK1440; initial posting April 3, 2000; last revision April 11, 2024; retrieved 2026-06-17; Management section (corroborating term(s): therapeutic, phlebotomy, iron, chelation)",HFE,C3469186,0.5500,0.4500,standard_of_care,no,,,yes,GeneReviews Management; OMIM clinical management,,NBK1440,"April 3, 2000","April 11, 2024","therapeutic, phlebotomy, iron, chelation"
Hereditary factor IX deficiency disease,factor IX replacement or gene therapy (etranacogene dezaparvovec),restores factor IX coagulant activity; AAV gene therapy provides endogenous factor IX,disease-modifying (substantial),[L],"accession-dated to GeneReviews Management section. GeneReviews NBK1495; initial posting October 2, 2000; last revision August 7, 2025; retrieved 2026-06-17; Management section (corroborating term(s): factor, gene)",F9,C0008533,0.5500,0.4500,definition,yes,efficacy,prophylactic treatment,yes,cited MedGen clinical_definition; FDA label,,NBK1495,"October 2, 2000","August 7, 2025","factor, gene"
Maple syrup urine disease,branched-chain-amino-acid-restricted diet with thiamine in responsive individuals and a sick-day protocol,dietary branched-chain amino-acid restriction prevents neurotoxic accumulation,disease-modifying (substantial),[L],"accession-dated to GeneReviews Management section. GeneReviews NBK1319; initial posting January 30, 2006; last revision April 23, 2020; retrieved 2026-06-17; Management section (corroborating term(s): diet, thiamine)",BCKDHA,C0024776,0.5500,0.4500,definition,yes,modality,thiamine therapy,yes,cited MedGen clinical_definition; GeneReviews Management,,NBK1319,"January 30, 2006","April 23, 2020","diet, thiamine"
Phenylketonuria,lifelong low-phenylalanine diet (with sapropterin/BH4 or pegvaliase in selected individuals),dietary phenylalanine restriction prevents neurotoxic phenylalanine accumulation,disease-modifying (substantial),[L],"accession-dated to GeneReviews Management section. GeneReviews NBK1504; initial posting January 10, 2000; last revision November 20, 2025; retrieved 2026-06-17; Management section (corroborating term(s): lifelong, diet, sapropterin, pegvaliase)",PAH,C0031485,0.5500,0.4500,definition,yes,modality,low Phe diet,yes,cited MedGen clinical_definition; GeneReviews Management,,NBK1504,"January 10, 2000","November 20, 2025","lifelong, diet, sapropterin, pegvaliase"
Wilson disease,copper chelation (penicillamine or trientine) with zinc,chelators promote urinary copper excretion; zinc blocks intestinal copper absorption,disease-modifying (substantial),[L],"accession-dated to GeneReviews Management section. GeneReviews NBK1512; initial posting October 22, 1999; last revision January 12, 2023; retrieved 2026-06-17; Management section (corroborating term(s): copper, chelation, penicillamine, trientine)",ATP7B,C0019202,0.5500,0.4500,standard_of_care,no,,,yes,GeneReviews Management; OMIM clinical management,,NBK1512,"October 22, 1999","January 12, 2023","copper, chelation, penicillamine, trientine, zinc"
Alkaptonuria,nitisinone (homogentisic-acid lowering) with supportive joint care,"nitisinone inhibits 4-hydroxyphenylpyruvate dioxygenase, reducing homogentisic-acid production",disease-modifying (partial),[L],"accession-dated to GeneReviews Management section. GeneReviews NBK1454; initial posting May 9, 2003; last revision June 10, 2021; retrieved 2026-06-17; Management section (corroborating term(s): nitisinone, joint)",HGD,C0002066,0.3000,0.7000,standard_of_care,no,,,yes,GeneReviews Management; OMIM clinical management,,NBK1454,"May 9, 2003","June 10, 2021","nitisinone, joint"
Cystinosis,cystine-depleting therapy (cysteamine) with kidney transplantation for end-stage disease,cysteamine converts intralysosomal cystine to a transportable cysteine-cysteamine mixed disulfide,disease-modifying (substantial),[L],"accession-dated to GeneReviews Management section. GeneReviews NBK1400; initial posting March 22, 2001; last revision August 14, 2025; retrieved 2026-06-17; Management section (corroborating term(s): cysteamine, kidney, transplantation)",CTNS,C4316899,0.5500,0.4500,definition,yes,modality,transplantation,yes,cited MedGen clinical_definition; GeneReviews Management,,NBK1400,"March 22, 2001","August 14, 2025","cysteamine, kidney, transplantation"
Cystinuria,high fluid intake with urinary alkalinization and thiol drugs (tiopronin or penicillamine),alkalinization raises cystine solubility; thiol drugs form soluble cysteine-drug disulfides,disease-modifying (substantial),[L],"accession-dated to GeneReviews Management section. GeneReviews NBK619248; initial posting November 20, 2025; last revision None; retrieved 2026-06-17; Management section (corroborating term(s): high, fluid, intake, urinary)",SLC3A1,C0010691,0.5500,0.4500,standard_of_care,no,,,yes,GeneReviews Management; OMIM clinical management,,NBK619248,"November 20, 2025",,"high, fluid, intake, urinary, alkalinization, drugs, tiopronin, penicillamine"
"Ehlers-Danlos syndrome, classic type, 1","supportive: skin and joint protection, wound care; no disease-modifying therapy",supportive only,symptomatic,[L],"accession-dated to GeneReviews Management section. GeneReviews NBK1244; initial posting May 29, 2007; last revision February 1, 2024; retrieved 2026-06-17; Management section (corroborating term(s): skin, joint, wound)",COL5A1,C0268335,0.1000,0.9000,standard_of_care,no,,,no,GeneReviews Management,,NBK1244,"May 29, 2007","February 1, 2024","skin, joint, wound"
"Ehlers-Danlos syndrome, type 4",celiprolol for arterial-event reduction with vascular surveillance; no definitive disease-modifying therapy,celiprolol reduces arterial-wall stress (limited-evidence),disease-modifying (partial),[L],"accession-dated to GeneReviews Management section. GeneReviews NBK1494; initial posting September 2, 1999; last revision April 10, 2025; retrieved 2026-06-17; Management section (corroborating term(s): vascular, surveillance)",COL3A1,C0268338,0.3000,0.7000,standard_of_care,no,,,yes,GeneReviews Management; OMIM clinical management,,NBK1494,"September 2, 1999","April 10, 2025","vascular, surveillance"
Hereditary factor VIII deficiency disease,"factor VIII replacement, FVIIIa-mimetic prophylaxis (emicizumab), or gene therapy",restores or mimics factor VIII coagulant activity,disease-modifying (substantial),[L],"accession-dated to GeneReviews Management section. GeneReviews NBK1404; initial posting September 21, 2000; last revision August 7, 2025; retrieved 2026-06-17; Management section (corroborating term(s): factor, viii, prophylaxis, emicizumab)",F8,C0019069,0.5500,0.4500,definition,yes,efficacy,prophylactic treatment,yes,cited MedGen clinical_definition; GeneReviews Management,,NBK1404,"September 21, 2000","August 7, 2025","factor, viii, prophylaxis, emicizumab, gene"
von Willebrand disease type 1,"desmopressin with antifibrinolytics, and von Willebrand factor concentrate for procedures",desmopressin releases stored endothelial von Willebrand factor and factor VIII,disease-modifying (substantial),[L],"accession-dated to GeneReviews Management section. GeneReviews NBK7014; initial posting June 4, 2009; last revision November 14, 2024; retrieved 2026-06-17; Management section (corroborating term(s): desmopressin, antifibrinolytics, willebrand, factor)",VWF,C1264039,0.5500,0.4500,standard_of_care,no,,,yes,GeneReviews Management; FDA label,,NBK7014,"June 4, 2009","November 14, 2024","desmopressin, antifibrinolytics, willebrand, factor, concentrate, procedures"
