entity,modality,mechanism,evidence_status,grade,provenance,gene,cui,efficacy_offset_e,R_treat,evidence_tier,definition_corroborated,definition_category,definition_phrase,mechanism_established,source_class,obstacle_for_L
Cystinosis,cystine-depleting therapy (cysteamine) with kidney transplantation for end-stage disease,cysteamine converts intralysosomal cystine to a transportable cysteine-cysteamine mixed disulfide,disease-modifying (substantial),[H],"cited MedGen clinical_definition (in-package [L] source) — matched treatment-efficacy phrase: ""transplantation"" [modality: transplantation]",CTNS,C4316899,0.5500,0.4500,definition,yes,modality,transplantation,yes,cited MedGen clinical_definition; GeneReviews Management,accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet)
Cystinuria,high fluid intake with urinary alkalinization and thiol drugs (tiopronin or penicillamine),alkalinization raises cystine solubility; thiol drugs form soluble cysteine-drug disulfides,disease-modifying (substantial),[H],established standard of care; source class: GeneReviews Management; OMIM clinical management; accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet),SLC3A1,C0010691,0.5500,0.4500,standard_of_care,no,,,yes,GeneReviews Management; OMIM clinical management,accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet)
Duchenne muscular dystrophy,corticosteroid therapy with exon-skipping antisense oligonucleotide for amenable variants and cardiac management,corticosteroids slow muscle degeneration; exon-skipping restores the dystrophin reading frame,disease-modifying (partial),[H],established standard of care; source class: GeneReviews Management; FDA label; accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet),DMD,C0013264,0.3000,0.7000,standard_of_care,no,,,yes,GeneReviews Management; FDA label,accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet)
"Ehlers-Danlos syndrome, classic type, 1","supportive: skin and joint protection, wound care; no disease-modifying therapy",supportive only,symptomatic,[H],established standard of care; source class: GeneReviews Management; accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet),COL5A1,C0268335,0.1000,0.9000,standard_of_care,no,,,no,GeneReviews Management,accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet)
"Ehlers-Danlos syndrome, type 4",celiprolol for arterial-event reduction with vascular surveillance; no definitive disease-modifying therapy,celiprolol reduces arterial-wall stress (limited-evidence),disease-modifying (partial),[H],established standard of care; source class: GeneReviews Management; OMIM clinical management; accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet),COL3A1,C0268338,0.3000,0.7000,standard_of_care,no,,,yes,GeneReviews Management; OMIM clinical management,accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet)
Fabry disease,enzyme replacement therapy (agalsidase) with optional pharmacologic chaperone (migalastat) for amenable variants,ERT replaces alpha-galactosidase A; chaperone stabilizes amenable mutant enzyme,disease-modifying (partial),[H],established standard of care; source class: GeneReviews Management; FDA label; accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet),GLA,C0002986,0.3000,0.7000,standard_of_care,no,,,yes,GeneReviews Management; FDA label,accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet)
Gaucher disease,enzyme replacement therapy (imiglucerase) with optional substrate reduction (eliglustat/miglustat) — non-neuronopathic type 1,ERT replaces deficient glucocerebrosidase; substrate reduction lowers glucosylceramide synthesis,disease-modifying (substantial),[H],established standard of care; source class: GeneReviews Management; FDA label; accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet),GBA1,C0017205,0.5500,0.4500,standard_of_care,no,,,yes,GeneReviews Management; FDA label,accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet)
Gaucher disease type I,enzyme replacement therapy (imiglucerase) with optional substrate reduction (eliglustat/miglustat),ERT replaces deficient glucocerebrosidase; substrate reduction lowers glucosylceramide synthesis,disease-modifying (substantial),[H],established standard of care; source class: GeneReviews Management; FDA label; accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet),GBA1,C1961835,0.5500,0.4500,standard_of_care,no,,,yes,GeneReviews Management; FDA label,accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet)
"Glycogen storage disease, type II",enzyme replacement therapy (alglucosidase alfa / avalglucosidase alfa),"ERT replaces acid alpha-glucosidase, clearing lysosomal glycogen",disease-modifying (substantial),[H],"cited MedGen clinical_definition (in-package [L] source) — matched treatment-efficacy phrase: ""enzyme replacement"" [modality: enzyme replacement therapy]",GAA,C0017921,0.5500,0.4500,definition,yes,modality,enzyme replacement,yes,cited MedGen clinical_definition; FDA label,accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet)
Hb SS disease,hydroxyurea with transfusion as needed; HSCT or gene therapy with curative intent in selected individuals,"hydroxyurea induces fetal hemoglobin, reducing HbS polymerization",disease-modifying (partial),[H],"cited MedGen clinical_definition (in-package [L] source) — matched treatment-efficacy phrase: ""transfusion"" [modality: transfusion therapy]",HBB,C0002895,0.3000,0.7000,definition,yes,modality,transfusion,yes,cited MedGen clinical_definition; FDA label,accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet)
Hemochromatosis type 1,therapeutic phlebotomy (iron chelation where phlebotomy is contraindicated),phlebotomy depletes excess body iron stores,disease-modifying (substantial),[H],established standard of care; source class: GeneReviews Management; OMIM clinical management; accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet),HFE,C3469186,0.5500,0.4500,standard_of_care,no,,,yes,GeneReviews Management; OMIM clinical management,accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet)
Hereditary factor IX deficiency disease,factor IX replacement or gene therapy (etranacogene dezaparvovec),restores factor IX coagulant activity; AAV gene therapy provides endogenous factor IX,disease-modifying (substantial),[H],"cited MedGen clinical_definition (in-package [L] source) — matched treatment-efficacy phrase: ""prophylactic treatment"" [efficacy: prophylactic / perioperative treatment]",F9,C0008533,0.5500,0.4500,definition,yes,efficacy,prophylactic treatment,yes,cited MedGen clinical_definition; FDA label,accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet)
Hereditary factor VIII deficiency disease,"factor VIII replacement, FVIIIa-mimetic prophylaxis (emicizumab), or gene therapy",restores or mimics factor VIII coagulant activity,disease-modifying (substantial),[H],"cited MedGen clinical_definition (in-package [L] source) — matched treatment-efficacy phrase: ""prophylactic treatment"" [efficacy: prophylactic / perioperative treatment]",F8,C0019069,0.5500,0.4500,definition,yes,efficacy,prophylactic treatment,yes,cited MedGen clinical_definition; GeneReviews Management,accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet)
Hurler syndrome,hematopoietic stem cell transplantation (early) with enzyme replacement (laronidase),HSCT supplies enzyme-secreting donor cells (metabolic cross-correction); ERT replaces alpha-L-iduronidase somatically,disease-modifying (substantial),[H],established standard of care; source class: GeneReviews Management; FDA label; accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet),IDUA,C0086795,0.5500,0.4500,standard_of_care,no,,,yes,GeneReviews Management; FDA label,accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet)
Maple syrup urine disease,branched-chain-amino-acid-restricted diet with thiamine in responsive individuals and a sick-day protocol,dietary branched-chain amino-acid restriction prevents neurotoxic accumulation,disease-modifying (substantial),[H],"cited MedGen clinical_definition (in-package [L] source) — matched treatment-efficacy phrase: ""thiamine therapy"" [modality: dietary therapy]",BCKDHA,C0024776,0.5500,0.4500,definition,yes,modality,thiamine therapy,yes,cited MedGen clinical_definition; GeneReviews Management,accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet)
Marfan syndrome,comprehensive cardiovascular management (beta-blockade or ARB with prophylactic aortic-root surgery),reduces aortic-wall stress; surgical root replacement removes dissection risk,disease-modifying (substantial),[H],"cited MedGen clinical_definition (in-package [L] source) — matched treatment-efficacy phrase: ""With proper management"" [efficacy: managed-course / normalized outcome]",FBN1,C0024796,0.5500,0.4500,definition,yes,efficacy,With proper management,yes,cited MedGen clinical_definition; GeneReviews Management,accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet)
"Niemann-Pick disease, type A",supportive care; enzyme replacement (olipudase alfa) is approved for non-CNS ASMD only and does not alter the lethal neurologic course of type A,ERT addresses visceral sphingomyelin storage but the neuronopathic course is not amenable (cited),none,[H],"cited MedGen clinical_definition (in-package [L] source) — matched treatment-efficacy phrase: ""Enzyme replacement"" [modality: enzyme replacement therapy]",SMPD1,C0268242,0.0000,1.0000,definition,yes,modality,Enzyme replacement,yes,cited MedGen clinical_definition; FDA label,accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet)
Osteogenesis imperfecta,bisphosphonate therapy with orthopedic and rehabilitative management,bisphosphonate anti-resorptive action increases bone mineral density,disease-modifying (partial),[H],established standard of care; source class: GeneReviews Management; FDA label; accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet),COL1A1,C0029434,0.3000,0.7000,standard_of_care,no,,,yes,GeneReviews Management; FDA label,accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet)
Phenylketonuria,lifelong low-phenylalanine diet (with sapropterin/BH4 or pegvaliase in selected individuals),dietary phenylalanine restriction prevents neurotoxic phenylalanine accumulation,disease-modifying (substantial),[H],"cited MedGen clinical_definition (in-package [L] source) — matched treatment-efficacy phrase: ""low Phe diet"" [modality: dietary therapy]",PAH,C0031485,0.5500,0.4500,definition,yes,modality,low Phe diet,yes,cited MedGen clinical_definition; GeneReviews Management,accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet)
Polycystic kidney disease 2,"vasopressin V2-receptor antagonist (tolvaptan) in rapid progressors, with supportive renal care and renal replacement","tolvaptan lowers cyst-driving intracellular cAMP, slowing cyst growth",disease-modifying (partial),[H],established standard of care; source class: GeneReviews Management; FDA label; accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet),PKD2,C2751306,0.3000,0.7000,standard_of_care,no,,,yes,GeneReviews Management; FDA label,accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet)
Tyrosinemia type I,nitisinone with a low-tyrosine diet,"nitisinone inhibits 4-hydroxyphenylpyruvate dioxygenase, blocking formation of toxic succinylacetone",disease-modifying (substantial),[H],"cited MedGen clinical_definition (in-package [L] source) — matched treatment-efficacy phrase: ""nitisinone"" [modality: small-molecule / enzyme-pathway drug]",FAH,C0268490,0.5500,0.4500,definition,yes,modality,nitisinone,yes,cited MedGen clinical_definition; FDA label,accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet)
Tyrosinemia type II,dietary tyrosine (and phenylalanine) restriction,dietary tyrosine restriction prevents tyrosine crystal deposition in cornea and skin,disease-modifying (substantial),[H],"cited MedGen clinical_definition (in-package [L] source) — matched treatment-efficacy phrase: ""treated from early infancy"" [efficacy: treatment-from-onset response]",TAT,C0268487,0.5500,0.4500,definition,yes,efficacy,treated from early infancy,yes,cited MedGen clinical_definition; OMIM clinical management,accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet)
Wilson disease,copper chelation (penicillamine or trientine) with zinc,chelators promote urinary copper excretion; zinc blocks intestinal copper absorption,disease-modifying (substantial),[H],established standard of care; source class: GeneReviews Management; OMIM clinical management; accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet),ATP7B,C0019202,0.5500,0.4500,standard_of_care,no,,,yes,GeneReviews Management; OMIM clinical management,accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet)
alpha Thalassemia,supportive care with intermittent transfusion for HbH disease; transfusion-dependent management for severe forms,transfusion supplies functional hemoglobin,symptomatic,[H],established standard of care; source class: GeneReviews Management; OMIM clinical management; accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet),HBA1,C0002312,0.1000,0.9000,standard_of_care,no,,,yes,GeneReviews Management; OMIM clinical management,accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet)
von Willebrand disease type 1,"desmopressin with antifibrinolytics, and von Willebrand factor concentrate for procedures",desmopressin releases stored endothelial von Willebrand factor and factor VIII,disease-modifying (substantial),[H],established standard of care; source class: GeneReviews Management; FDA label; accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet),VWF,C1264039,0.5500,0.4500,standard_of_care,no,,,yes,GeneReviews Management; FDA label,accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet)
