entity,medgen_cui,organ_system_hint,candidate_class,cns_score,cns_signals,cns_negated,sys_score,sys_signals,decision,reason,evidence_source
Gaucher disease type III,C0268251,lysosomal,storage,1,primary_cns_disease,true,6,hepatosplenomegaly;skeletal;cardiac_organ;corneal;pulmonary;hematologic,keep_in,systemic storage; no primary-CNS signal in definition,medgen:esummary:definition:2026-06-17
Gaucher disease-ophthalmoplegia-cardiovascular calcification syndrome,C1856476,lysosomal,storage,1,primary_cns_disease,true,6,hepatosplenomegaly;skeletal;cardiac_organ;corneal;pulmonary;hematologic,keep_in,systemic storage; no primary-CNS signal in definition,medgen:esummary:definition:2026-06-17
GM1 gangliosidosis,C0085131,lysosomal,storage,4,dev_regression;cherry_red_spot;intellectual_primary;seizures,false,5,hepatosplenomegaly;skeletal;cardiac_organ;corneal;hepatic,keep_in_crossref_cns,"systemic storage with CNS involvement (systemic: hepatosplenomegaly,skeletal,cardiac_organ,corneal,hepatic; CNS: dev_regression,cherry_red_spot,intellectual_primary,seizures) -> keep IN, cross-reference CNS axis",medgen:esummary:definition:2026-06-17
GM1 gangliosidosis type 2,C0268272,lysosomal,storage,3,progressive_neuro;cherry_red_spot;seizures,false,6,hepatosplenomegaly;skeletal;cardiac_organ;corneal;growth_feeding;joint_connective,keep_in_crossref_cns,"systemic storage with CNS involvement (systemic: hepatosplenomegaly,skeletal,cardiac_organ,corneal,growth_feeding,joint_connective; CNS: progressive_neuro,cherry_red_spot,seizures) -> keep IN, cross-reference CNS axis",medgen:esummary:definition:2026-06-17
GM1 gangliosidosis type 3,C0268273,lysosomal,storage,3,progressive_neuro;cherry_red_spot;seizures,false,6,hepatosplenomegaly;skeletal;cardiac_organ;corneal;growth_feeding;joint_connective,keep_in_crossref_cns,"systemic storage with CNS involvement (systemic: hepatosplenomegaly,skeletal,cardiac_organ,corneal,growth_feeding,joint_connective; CNS: progressive_neuro,cherry_red_spot,seizures) -> keep IN, cross-reference CNS axis",medgen:esummary:definition:2026-06-17
GNPTG-mucolipidosis,C1854896,lysosomal,storage,1,intellectual_primary,false,4,skeletal;cardiac_organ;pulmonary;joint_connective,keep_in_crossref_cns,"systemic storage with CNS involvement (systemic: skeletal,cardiac_organ,pulmonary,joint_connective; CNS: intellectual_primary) -> keep IN, cross-reference CNS axis",medgen:esummary:definition:2026-06-17
Incontinentia pigmenti syndrome,C0021171,unclassified_systemic,neurocutaneous,2,intellectual_primary;seizures,false,0,,keep_in_crossref_cns,neurocutaneous multi-system: primary systemic features kept; CNS cross-referenced (handover),medgen:esummary:definition:2026-06-17
Infantile GM1 gangliosidosis,C0268271,lysosomal,storage,3,progressive_neuro;cherry_red_spot;seizures,false,6,hepatosplenomegaly;skeletal;cardiac_organ;corneal;growth_feeding;joint_connective,keep_in_crossref_cns,"systemic storage with CNS involvement (systemic: hepatosplenomegaly,skeletal,cardiac_organ,corneal,growth_feeding,joint_connective; CNS: progressive_neuro,cherry_red_spot,seizures) -> keep IN, cross-reference CNS axis",medgen:esummary:definition:2026-06-17
Lysosomal acid lipase deficiency,C5574740,metabolic|lysosomal,storage,0,,false,3,hepatosplenomegaly;hematologic;hepatic,keep_in,systemic storage; no primary-CNS signal in definition,medgen:esummary:definition:2026-06-17
Mucolipidosis type II,C2673377,lysosomal,storage,0,,false,4,skeletal;cardiac_organ;pulmonary;joint_connective,keep_in,systemic storage; no primary-CNS signal in definition,medgen:esummary:definition:2026-06-17
Mucolipidosis type IV,C0238286,lysosomal,storage,1,neurodegeneration,false,1,corneal,keep_in_crossref_cns,"systemic storage with CNS involvement (systemic: corneal; CNS: neurodegeneration) -> keep IN, cross-reference CNS axis",medgen:esummary:definition:2026-06-17
Mucopolysaccharidosis type 1,C0023786,metabolic,storage,1,intellectual_primary,true,5,skeletal;cardiac_organ;corneal;pulmonary;joint_connective,keep_in,systemic storage; no primary-CNS signal in definition,medgen:esummary:definition:2026-06-17
Mucopolysaccharidosis type 6,C0026709,metabolic,storage,0,,false,4,hepatosplenomegaly;skeletal;corneal;joint_connective,keep_in,systemic storage; no primary-CNS signal in definition,medgen:esummary:definition:2026-06-17
Mucopolysaccharidosis type 7,C0085132,metabolic,storage,1,intellectual_primary,false,7,hepatosplenomegaly;skeletal;cardiac_organ;corneal;pulmonary;growth_feeding;joint_connective,keep_in_crossref_cns,"systemic storage with CNS involvement (systemic: hepatosplenomegaly,skeletal,cardiac_organ,corneal,pulmonary,growth_feeding,joint_connective; CNS: intellectual_primary) -> keep IN, cross-reference CNS axis",medgen:esummary:definition:2026-06-17
"Mucopolysaccharidosis, MPS-I-H/S",C0086431,metabolic,storage,1,intellectual_primary,true,5,skeletal;cardiac_organ;corneal;pulmonary;joint_connective,keep_in,systemic storage; no primary-CNS signal in definition,medgen:esummary:definition:2026-06-17
"Mucopolysaccharidosis, MPS-I-S",C0026708,metabolic,storage,1,intellectual_primary,true,5,skeletal;cardiac_organ;corneal;pulmonary;joint_connective,keep_in,systemic storage; no primary-CNS signal in definition,medgen:esummary:definition:2026-06-17
"Mucopolysaccharidosis, MPS-II",C0026705,metabolic,storage,0,,false,2,hepatosplenomegaly;skeletal,keep_in,systemic storage; no primary-CNS signal in definition,medgen:esummary:definition:2026-06-17
"Mucopolysaccharidosis, MPS-III-A",C0086647,metabolic,storage,3,dev_regression;dementia;intellectual_primary,false,4,skeletal;cardiac_organ;pulmonary;joint_connective,keep_in_crossref_cns,"systemic storage with CNS involvement (systemic: skeletal,cardiac_organ,pulmonary,joint_connective; CNS: dev_regression,dementia,intellectual_primary) -> keep IN, cross-reference CNS axis",medgen:esummary:definition:2026-06-17
"Mucopolysaccharidosis, MPS-III-B",C0086648,metabolic,storage,3,dev_regression;dementia;intellectual_primary,false,4,skeletal;cardiac_organ;pulmonary;joint_connective,keep_in_crossref_cns,"systemic storage with CNS involvement (systemic: skeletal,cardiac_organ,pulmonary,joint_connective; CNS: dev_regression,dementia,intellectual_primary) -> keep IN, cross-reference CNS axis",medgen:esummary:definition:2026-06-17
"Mucopolysaccharidosis, MPS-III-C",C0086649,metabolic,storage,3,dev_regression;dementia;intellectual_primary,false,4,skeletal;cardiac_organ;pulmonary;joint_connective,keep_in_crossref_cns,"systemic storage with CNS involvement (systemic: skeletal,cardiac_organ,pulmonary,joint_connective; CNS: dev_regression,dementia,intellectual_primary) -> keep IN, cross-reference CNS axis",medgen:esummary:definition:2026-06-17
"Mucopolysaccharidosis, MPS-III-D",C0086650,metabolic,storage,3,dev_regression;dementia;intellectual_primary,false,4,skeletal;cardiac_organ;pulmonary;joint_connective,keep_in_crossref_cns,"systemic storage with CNS involvement (systemic: skeletal,cardiac_organ,pulmonary,joint_connective; CNS: dev_regression,dementia,intellectual_primary) -> keep IN, cross-reference CNS axis",medgen:esummary:definition:2026-06-17
"Mucopolysaccharidosis, MPS-IV-A",C0086651,metabolic,storage,0,,false,5,hepatosplenomegaly;skeletal;cardiac_organ;corneal;joint_connective,keep_in,systemic storage; no primary-CNS signal in definition,medgen:esummary:definition:2026-06-17
"Mucopolysaccharidosis, MPS-IV-B",C0086652,metabolic,storage,3,progressive_neuro;cherry_red_spot;seizures,false,6,hepatosplenomegaly;skeletal;cardiac_organ;corneal;growth_feeding;joint_connective,keep_in_crossref_cns,"systemic storage with CNS involvement (systemic: hepatosplenomegaly,skeletal,cardiac_organ,corneal,growth_feeding,joint_connective; CNS: progressive_neuro,cherry_red_spot,seizures) -> keep IN, cross-reference CNS axis",medgen:esummary:definition:2026-06-17
"Mucopolysaccharidosis, type 10",C5562064,metabolic,storage,0,,false,1,skeletal,keep_in,systemic storage; no primary-CNS signal in definition,medgen:esummary:definition:2026-06-17
Mucopolysaccharidosis-plus syndrome,C4310627,metabolic,storage,0,,false,4,skeletal;renal;pulmonary;hematologic,keep_in,systemic storage; no primary-CNS signal in definition,medgen:esummary:definition:2026-06-17
Multiple sulfatase deficiency,C0268263,metabolic,storage,4,neurodegeneration;dev_regression;progressive_neuro;leukodystrophy,false,1,skeletal,keep_in_crossref_cns,"systemic storage with CNS involvement (systemic: skeletal; CNS: neurodegeneration,dev_regression,progressive_neuro,leukodystrophy) -> keep IN, cross-reference CNS axis",medgen:esummary:definition:2026-06-17
"Neurofibromatosis, familial spinal",C1834235,unclassified_systemic,neurocutaneous,0,,false,0,,keep_in_crossref_cns,neurocutaneous multi-system: primary systemic features kept; CNS cross-referenced (handover),medgen:esummary:definition:2026-06-17
"Neurofibromatosis, type 1",C0027831,unclassified_systemic,neurocutaneous,0,,false,1,pulmonary,keep_in_crossref_cns,neurocutaneous multi-system: primary systemic features kept; CNS cross-referenced (handover),medgen:esummary:definition:2026-06-17
"Neurofibromatosis, type 2",C0027832,unclassified_systemic,neurocutaneous,0,,false,0,,keep_in_crossref_cns,neurocutaneous multi-system: primary systemic features kept; CNS cross-referenced (handover),medgen:esummary:definition:2026-06-17
Neurofibromatosis-Noonan syndrome,C2931482,unclassified_systemic,neurocutaneous,0,,false,1,skeletal,keep_in_crossref_cns,neurocutaneous multi-system: primary systemic features kept; CNS cross-referenced (handover),medgen:esummary:definition:2026-06-17
"Niemann-Pick disease, type A",C0268242,lysosomal,storage,2,progressive_neuro;cherry_red_spot,true,5,hepatosplenomegaly;visceral;pulmonary;hepatic;growth_feeding,keep_in,systemic storage; no primary-CNS signal in definition,medgen:esummary:definition:2026-06-17
"Niemann-Pick disease, type B",C0268243,lysosomal,storage,2,progressive_neuro;cherry_red_spot,true,5,hepatosplenomegaly;visceral;pulmonary;hepatic;growth_feeding,keep_in,systemic storage; no primary-CNS signal in definition,medgen:esummary:definition:2026-06-17
"Niemann-Pick disease, type C",C0220756,lysosomal,storage,3,dementia;intellectual_primary;seizures,false,3,hepatosplenomegaly;visceral;pulmonary,keep_in_crossref_cns,"systemic storage with CNS involvement (systemic: hepatosplenomegaly,visceral,pulmonary; CNS: dementia,intellectual_primary,seizures) -> keep IN, cross-reference CNS axis",medgen:esummary:definition:2026-06-17
"Niemann-Pick disease, type C1",C3179455,lysosomal,storage,3,dementia;intellectual_primary;seizures,false,3,hepatosplenomegaly;visceral;pulmonary,keep_in_crossref_cns,"systemic storage with CNS involvement (systemic: hepatosplenomegaly,visceral,pulmonary; CNS: dementia,intellectual_primary,seizures) -> keep IN, cross-reference CNS axis",medgen:esummary:definition:2026-06-17
"Niemann-Pick disease, type C2",C1843366,lysosomal,storage,3,dementia;intellectual_primary;seizures,false,3,hepatosplenomegaly;visceral;pulmonary,keep_in_crossref_cns,"systemic storage with CNS involvement (systemic: hepatosplenomegaly,visceral,pulmonary; CNS: dementia,intellectual_primary,seizures) -> keep IN, cross-reference CNS axis",medgen:esummary:definition:2026-06-17
Salla disease,C1096903,unclassified_systemic,storage,3,neurodegeneration;progressive_neuro;seizures,true,2,hepatosplenomegaly;skeletal,keep_in,systemic storage; no primary-CNS signal in definition,medgen:esummary:definition:2026-06-17
Sialidosis,C0268226,unclassified_systemic,storage,0,,false,1,skeletal,keep_in,systemic storage; no primary-CNS signal in definition,medgen:esummary:definition:2026-06-17
Sialidosis type 2,C4282398,unclassified_systemic,storage,0,,false,0,,keep_in,systemic storage; no primary-CNS signal in definition,medgen:esummary:definition:2026-06-17
Sphingolipid activator protein 1 deficiency,C0268262,metabolic|lysosomal,storage,2,leukodystrophy;seizures,false,0,,keep_in_crossref_cns,"systemic storage with CNS involvement (systemic: name-class; CNS: leukodystrophy,seizures) -> keep IN, cross-reference CNS axis",medgen:esummary:definition:2026-06-17
Sturge-Weber syndrome,C0038505,unclassified_systemic,neurocutaneous,1,seizures,false,0,,keep_in_crossref_cns,neurocutaneous multi-system: primary systemic features kept; CNS cross-referenced (handover),medgen:esummary:definition:2026-06-17
Tuberous sclerosis 1,C1854465,unclassified_systemic,neurocutaneous,1,seizures,false,2,renal;pulmonary,keep_in_crossref_cns,neurocutaneous multi-system: primary systemic features kept; CNS cross-referenced (handover),medgen:esummary:definition:2026-06-17
Tuberous sclerosis 2,C1860707,unclassified_systemic,neurocutaneous,1,seizures,false,2,renal;pulmonary,keep_in_crossref_cns,neurocutaneous multi-system: primary systemic features kept; CNS cross-referenced (handover),medgen:esummary:definition:2026-06-17
Tuberous sclerosis syndrome,C0041341,unclassified_systemic,neurocutaneous,1,seizures,false,2,renal;pulmonary,keep_in_crossref_cns,neurocutaneous multi-system: primary systemic features kept; CNS cross-referenced (handover),medgen:esummary:definition:2026-06-17
Von Hippel-Lindau syndrome,C0019562,unclassified_systemic,neurocutaneous,0,,false,1,renal,keep_in_crossref_cns,neurocutaneous multi-system: primary systemic features kept; CNS cross-referenced (handover),medgen:esummary:definition:2026-06-17
X-linked ichthyosis with steryl-sulfatase deficiency,C0079588,metabolic|dermatologic,storage,0,,false,0,,keep_in,systemic storage; no primary-CNS signal in definition,medgen:esummary:definition:2026-06-17
